Color	Type	SKU	Description	Base Price
CSW	BASE CABINETS	CSW-B09FHD	"Full Height Base Cabinet 9""W × 34 1/2""H × 24""D"	83.67
CSW	BASE CABINETS	CSW-B12	"Base Cabinet 12""W × 34 1/2""H × 24""D"	121.55
CSW	BASE CABINETS	CSW-B15	"Base Cabinet 15""W × 34 1/2""H × 24""D"	127.17
CSW	BASE CABINETS	CSW-B18	"Base Cabinet 18""W × 34 1/2""H × 24""D"	137.93
CSW	BASE CABINETS	CSW-B21	"Base Cabinet 21""W × 34 1/2""H × 24""D"	149.18
CSW	BASE CABINETS	CSW-B24	"Base Cabinet 24""W × 34 1/2""H × 24""D"	171.42
CSW	BASE CABINETS	CSW-B27	"Base Cabinet 27""W × 34 1/2""H × 24""D"	179.97
CSW	BASE CABINETS	CSW-B30	"Base Cabinet 30""W × 34 1/2""H × 24""D"	209.8
CSW	BASE CABINETS	CSW-B33	"Base Cabinet 33""W × 34 1/2""H × 24""D"	220.8
CSW	BASE CABINETS	CSW-B36	"Base Cabinet 36""W × 34 1/2""H × 24""D"	234.97
CSW	BASE CABINETS	CSW-B39	"Base Cabinet 36""W × 34 1/2""H × 24""D"	239.86
CSW	BASE CABINETS	CSW-B42	"Base Cabinet 42""W × 34 1/2""H × 24""D"	259.17
CSW	DRAWER BASE CABINETS	CSW-DB12	"3 Drawer Base Cabinet 12""W × 34 1/2""H × 24""D"	168 
CSW	DRAWER BASE CABINETS	CSW-DB15	"3 Drawer Base Cabinet 15""W × 34 1/2""H × 24""D"	184.62
CSW	DRAWER BASE CABINETS	CSW-DB18	"3 Drawer Base Cabinet 18""W × 34 1/2""H × 24""D"	197.57
CSW	DRAWER BASE CABINETS	CSW-DB21	"3 Drawer Base Cabinet 21""W × 34 1/2""H × 24""D"	207.84
CSW	DRAWER BASE CABINETS	CSW-DB24	"3 Drawer Base Cabinet 24""W × 34 1/2""H × 24""D"	214.44
CSW	DRAWER BASE CABINETS	CSW-DB27	"3 Drawer Base Cabinet 30""W × 34 1/2""H × 24""D"	240.68
CSW	DRAWER BASE CABINETS	CSW-DB30	"3 Drawer Base Cabinet 30""W × 34 1/2""H × 24""D"	249.4
CSW	DRAWER BASE CABINETS	CSW-DB33	"3 Drawer Base Cabinet 30""W × 34 1/2""H × 24""D"	257.95
CSW	DRAWER BASE CABINETS	CSW-DB36	"3 Drawer Base Cabinet 36""W × 34 1/2""H × 24""D"	280.2
CSW	CORNER BASE CABINETS	CSW-LS33	"Lazy Susan Base Cabinet 33""W × 34 1/2""H × 24""D "	288.75
CSW	CORNER BASE CABINETS	CSW-LS36	"Lazy Susan Base Cabinet 36""W × 34 1/2""H × 24""D "	307.82
CSW	CORNER BASE CABINETS	CSW-DCSB36	"Diagonal Corner Sink Base Cabinet 36""W × 34 1/2""H × 24""D"	150.4
CSW	CORNER BASE CABINETS	CSW-BLB36	"Blind Base Corner Cabinet, Pull to 39"" 36""W × 34 1/2""H × 24""D"	202.24
CSW	CORNER BASE CABINETS	CSW-BLB39	"Blind Base Corner Cabinet, Pull to 42"" 36""W × 34 1/2""H × 24""D"	206.61
CSW	CORNER BASE CABINETS	CSW-BLB42	"Blind Base Corner Cabinet, Pull to 45"" 42""W × 34 1/2""H × 24""D"	215.52
CSW	SINK BASE CABINETS	CSW-SB24	"Sink Base Cabinet 30""W × 34 1/2""H × 24""D"	163.35
CSW	SINK BASE CABINETS	CSW-SB27	"Sink Base Cabinet 30""W × 34 1/2""H × 24""D"	166.04
CSW	SINK BASE CABINETS	CSW-SB30	"Sink Base Cabinet 30""W × 34 1/2""H × 24""D"	176.8
CSW	SINK BASE CABINETS	CSW-SB33	"Sink Base Cabinet 33""W × 34 1/2""H × 24""D"	192.93
CSW	SINK BASE CABINETS	CSW-SB36	"Sink Base Cabinet 36""W × 34 1/2""H × 24""D"	198.55
CSW	SINK BASE CABINETS	CSW-SB39	"Sink Base Cabinet 36""W × 34 1/2""H × 24""D"	214.69
CSW	SINK BASE CABINETS	CSW-SB42	"Sink Base Cabinet 42""W × 34 1/2""H × 24""D"	225.44
CSW	SINK BASE CABINETS	CSW-APSB33	"Apron Sink Base Cabinet 36""W × 34 1/2""H × 24""D"	159.93
CSW	SINK BASE CABINETS	CSW-APSB36	"Apron Sink Base Cabinet 36""W × 34 1/2""H × 24""D"	186.08
CSW	SPICE& TRASH PULL OUT BASE CABINETS	CSW-BSP06	"Base spice rack pull out cabinet 6""W × 34 1/2""H × 24""D"	95.11
CSW	SPICE& TRASH PULL OUT BASE CABINETS	CSW-BSDC6	"Base spice rack pull out cabinet 6""W × 34 1/2""H × 24""D"	95.89
CSW	SPICE& TRASH PULL OUT BASE CABINETS	CSW-BSR09S	"Base spice rack pull out cabinet 6""W × 34 1/2""H × 24""D"	152.74
CSW	SPICE& TRASH PULL OUT BASE CABINETS	CSW-BWBK18-2A	"Base trash pull out cabinet 6""W × 34 1/2""H × 24""D"	152.74
CSW	MICROWAVE BASE CABINETS	CSW-BM30	"Base microwave cabinet 1 drawer 30""W × 34 1/2""H × 24""D"	178.78
CSW	WALL CABINETS	CSW-W0930	Wall cabinet 9"W x 30"H x 12"D	61.3
CSW	WALL CABINETS	CSW-W1230	Wall cabinet 12"W x 30"H x 12"D	74.87
CSW	WALL CABINETS	CSW-W1530	Wall cabinet 15"W x 30"H x 12"D	83.18
CSW	WALL CABINETS	CSW-W1830	Wall cabinet 18"W x 30"H x 12"D	100.34
CSW	WALL CABINETS	CSW-W2130	Wall cabinet 21"W x 30"H x 12"D	104.44
CSW	WALL CABINETS	CSW-W2430	Wall cabinet 24"W x 30"H x 12"D	123.92
CSW	WALL CABINETS	CSW-W2730	Wall cabinet 27"W x 30"H x 12"D	131.09
CSW	WALL CABINETS	CSW-W3030	Wall cabinet 30"W x 30"H x 12"D	139.64
CSW	WALL CABINETS	CSW-W3330	Wall cabinet 33"W x 30"H x 12"D	151.62
CSW	WALL CABINETS	CSW-W3630	Wall cabinet 36"W x 30"H x 12"D	160.67
CSW	WALL CABINETS	CSW-W3930	Wall cabinet 39"W x 30"H x 12"D	165.8
CSW	WALL CABINETS	CSW-W4230	Wall cabinet 42"W x 30"H x 12"D	184.87
CSW	WALL CABINETS	CSW-W0936	Wall cabinet 9"W x 36"H x 12"D	72.34
CSW	WALL CABINETS	CSW-W1236	Wall cabinet 12"W x 36"H x 12"D	90.75
CSW	WALL CABINETS	CSW-W1536	Wall cabinet 15"W x 36"H x 12"D	104.72
CSW	WALL CABINETS	CSW-W1836	Wall cabinet 18"W x 36"H x 12"D	111.28
CSW	WALL CABINETS	CSW-W2136	Wall cabinet 21"W x 36"H x 12"D	131.5
CSW	WALL CABINETS	CSW-W2436	Wall cabinet 24"W x 36"H x 12"D	139.32
CSW	WALL CABINETS	CSW-W2736	Wall cabinet 27"W x 36"H x 12"D	156.86
CSW	WALL CABINETS	CSW-W3036	Wall cabinet 30"W x 36"H x 12"D	168.15
CSW	WALL CABINETS	CSW-W3336	Wall cabinet 33"W x 36"H x 12"D	173.62
CSW	WALL CABINETS	CSW-W3636	Wall cabinet 36"W x 36"H x 12"D	184.62
CSW	WALL CABINETS	CSW-W3936	Wall cabinet 39"W x 36"H x 12"D	195.62
CSW	WALL CABINETS	CSW-W4236	Wall cabinet 42"W x 36"H x 12"D	206.62
CSW	WALL CABINETS	CSW-W0942	Wall cabinet 9"W x 42"H x 12"D	77.94
CSW	WALL CABINETS	CSW-W1242	Wall cabinet 12"W x 42"H x 12"D	96.13
CSW	WALL CABINETS	CSW-W1542	Wall cabinet 15"W x 42"H x 12"D	111.96
CSW	WALL CABINETS	CSW-W1842	Wall cabinet 18"W x 42"H x 12"D	126.12
CSW	WALL CABINETS	CSW-W2142	Wall cabinet 21"W x 42"H x 12"D	140.26
CSW	WALL CABINETS	CSW-W2442	Wall cabinet 24"W x 42"H x 12"D	156.82
CSW	WALL CABINETS	CSW-W2742	Wall cabinet 27"W x 42"H x 12"D	171.91
CSW	WALL CABINETS	CSW-W3042	Wall cabinet 30"W x 42"H x 12"D	185.11
CSW	WALL CABINETS	CSW-W3342	Wall cabinet 33"W x 42"H x 12"D	197.82
CSW	WALL CABINETS	CSW-W3642	Wall cabinet 36"W x 42"H x 12"D	212.24
CSW	WALL CABINETS	CSW-W3942	Wall cabinet 39"W x 42"H x 12"D	216.64
CSW	WALL CABINETS	CSW-W4242	Wall cabinet 42"W x 42"H x 12"D	219.33
CSW	WALL BLIND CABINETS	CSW-WBC3630	"Wall blind corner cabinet 27""W x 30""H x 12""D"	150
CSW	WALL BLIND CABINETS	CSW-WBC3636	"Wall blind corner cabinet 27""W x 36""H x 12""D"	170
CSW	WALL BLIND CABINETS	CSW-WBC3642	"Wall blind corner cabinet 27""W x 42""H x 12""D"	190
CSW	WALL CORNER CABINETS	CSW-WDC2430	"Wall diagonal corner cabinet 24""W x 30""H x 12""D"	151.37
CSW	WALL CORNER CABINETS	CSW-WDC2436	"Wall diagonal corner cabinet 24""W x 36""H x 12""D"	170.44
CSW	WALL CORNER CABINETS	CSW-WDC2442	"Wall diagonal corner cabinet 24""W x 42""H x 12""D"	196.35
CSW	WALL CORNER CABINETS	CSW-WDC2730	"Wall diagonal corner cabinet 24""W x 30""H x 12""D"	162.86
CSW	WALL CORNER CABINETS	CSW-WDC2736	"Wall diagonal corner cabinet 24""W x 36""H x 12""D"	179.73
CSW	WALL CORNER CABINETS	CSW-WDC2742	"Wall diagonal corner cabinet 24""W x 42""H x 12""D"	207.35
CSW	WALL CORNER CABINETS	CSW-WDC2430GD	"Wall diagonal corner cabinet 24""W x 30""H x 12""D"	177.53
CSW	WALL CORNER CABINETS	CSW-WDC2436GD	"Wall diagonal corner cabinet 24""W x 36""H x 12""D"	183.64
CSW	WALL CORNER CABINETS	CSW-WDC2442GD	"Wall diagonal corner cabinet 24""W x 42""H x 12""D"	209.55
CSW	WALL CORNER CABINETS	CSW-WDC2412GD	"Wall diagonal corner cabinet 24""W x 42""H x 12""D"	207.35
CSW	EASY REACH WALL CABINETS	CSW-WDC2430	"Wall diagonal corner cabinet 24""W x 30""H x 12""D"	123.81
CSW	EASY REACH WALL CABINETS	CSW-WDC2436	"Wall diagonal corner cabinet 24""W x 36""H x 12""D"	133.37
CSW	EASY REACH WALL CABINETS	CSW-WDC2442	"Wall diagonal corner cabinet 24""W x 42""H x 12""D"	153.18
CSW	MICROWAVE WALL CABINETS	CSW-WM303024	Microwave Wall 30"H	175.52 
CSW	MICROWAVE WALL CABINETS	CSW-WM303624	Microwave Wall 36"H	202.86
CSW	MICROWAVE WALL CABINETS	CSW-WM304224	Microwave Wall 42"H	209.64
CSW	MICROWAVE WALL CABINETS	CSW-WEC1230 	Wall end corner 30"H	93.44
CSW	MICROWAVE WALL CABINETS	CSW-WEC1236 	Wall end corner 36"H	104.2
CSW	MICROWAVE WALL CABINETS	CSW-WEC1242	Wall end corner 42"H	114.71
CSW	BRIDGE CABINETS	CSW-W3012	Wall cabinet 30"W x 12"H x 12"D	87.82
CSW	BRIDGE CABINETS	CSW-W3015	Wall cabinet 30"W x 15"H x 12"D	89.77
CSW	BRIDGE CABINETS	CSW-W3018	Wall cabinet 30"W x 18"H x 12"D	100.92
CSW	BRIDGE CABINETS	CSW-W3024	Wall cabinet 30"W x 24"H x 12"D	115.69
CSW	BRIDGE CABINETS	CSW-W3312	Wall cabinet 33"W x 12"H x 12"D	97.6
CSW	BRIDGE CABINETS	CSW-W3315	Wall cabinet 33"W x 15"H x 12"D	98.82
CSW	BRIDGE CABINETS	CSW-W3318	Wall cabinet 33"W x 18"H x 12"D	109.57
CSW	BRIDGE CABINETS	CSW-W3324	Wall cabinet 33"W x 24"H x 12"D	120.33
CSW	BRIDGE CABINETS	CSW-W3612	Wall cabinet 36"W x 12"H x 12"D	101.51
CSW	BRIDGE CABINETS	CSW-W3615	Wall cabinet 36"W x 15"H x 12"D	104.2
CSW	BRIDGE CABINETS	CSW-W3618	Wall cabinet 36"W x 18"H x 12"D	112.27
CSW	BRIDGE CABINETS	CSW-W3624	Wall cabinet 36"W x 24"H x 12"D	135.49
CSW	18" STACK CABINETS	CSW-W1218	Wall cabinet 12"W x 18"H x 12"D	70.58
CSW	18" STACK CABINETS	CSW-W1518	Wall cabinet 15"W x 18"H x 12"D	76.04
CSW	18" STACK CABINETS	CSW-W1818	Wall cabinet 18"W x 18"H x 12"D	80.26
CSW	18" STACK CABINETS	CSW-W2118	Wall cabinet 21"W x 18"H x 12"D	85.62
CSW	18" STACK CABINETS	CSW-W2418	Wall cabinet 24"W x 18"H x 12"D	94.02
CSW	18" STACK CABINETS	CSW-W2718	Wall cabinet 27"W x 18"H x 12"D	97.48
CSW	GLASS CABINETS UPPERS	CSW-W1530GD	Wall cabinet 30"W x 12"H x 12"D	83.18
CSW	GLASS CABINETS UPPERS	CSW-W1830GD	Wall cabinet 30"W x 15"H x 12"D	93.93
CSW	GLASS CABINETS UPPERS	CSW-W2430GD	Wall cabinet 30"W x 18"H x 12"D	118.62
CSW	GLASS CABINETS UPPERS	CSW-W3030GD	Wall cabinet 30"W x 24"H x 12"D	139.64
CSW	GLASS CABINETS UPPERS	CSW-W3630GD	Wall cabinet 33"W x 12"H x 12"D	160.67
CSW	GLASS CABINETS UPPERS	CSW-W1536GD	Wall cabinet 30"W x 12"H x 12"D	95.89
CSW	GLASS CABINETS UPPERS	CSW-W1836GD	Wall cabinet 30"W x 15"H x 12"D	104.69
CSW	GLASS CABINETS UPPERS	CSW-W2436GD	Wall cabinet 30"W x 18"H x 12"D	138.42
CSW	GLASS CABINETS UPPERS	CSW-W3036GD	Wall cabinet 30"W x 24"H x 12"D	161.15
CSW	GLASS CABINETS UPPERS	CSW-W3636        GD	Wall cabinet 33"W x 12"H x 12"D	184.62
CSW	GLASS CABINETS UPPERS	CSW-W1542GD	Wall cabinet 33"W x 15"H x 12"D	108.11
CSW	GLASS CABINETS UPPERS	CSW-W1842GD	Wall cabinet 33"W x 18"H x 12"D	122.53
CSW	GLASS CABINETS UPPERS	CSW-W2442GD	Wall cabinet 33"W x 24"H x 12"D	154.4
CSW	GLASS CABINETS UPPERS	CSW-W3042GD	Wall cabinet 30"W x 24"H x 12"D	181.11
CSW	GLASS CABINETS UPPERS	CSW-W3642GD	Wall cabinet 33"W x 12"H x 12"D	212.24
CSW	GLASS CABINETS STACKS	CSW-W1212GD	Wall cabinet 30"W x 12"H x 12"D	57.58
CSW	GLASS CABINETS STACKS	CSW-W1512GD	Wall cabinet 30"W x 15"H x 12"D	61.3
CSW	GLASS CABINETS STACKS	CSW-W1812GD	Wall cabinet 30"W x 18"H x 12"D	66.06
CSW	GLASS CABINETS STACKS	CSW-W2112GD	Wall cabinet 30"W x 24"H x 12"D	75.33
CSW	GLASS CABINETS STACKS	CSW-W2412GD	Wall cabinet 33"W x 12"H x 12"D	80.5
CSW	GLASS CABINETS STACKS	CSW-W2712GD	Wall cabinet 30"W x 12"H x 12"D	79.75
CSW	GLASS CABINETS STACKS	CSW-W3012GD	Wall cabinet 30"W x 15"H x 12"D	81.95
CSW	GLASS CABINETS STACKS	CSW-W3312GD	Wall cabinet 30"W x 18"H x 12"D	84.16
CSW	GLASS CABINETS STACKS	CSW-W3612GD	Wall cabinet 30"W x 24"H x 12"D	86.36
CSW	VANITY CABINETS	CSW-VSB24	"Vanity sink base cabinet 24""W × 34.5""H × 21""D"	90.58
CSW	VANITY CABINETS	CSW-VSB27	"Vanity sink base cabinet 27""W × 34.5""H × 21""D"	97.46
CSW	VANITY CABINETS	CSW-VSB30	"Vanity sink base cabinet 30""W × 34.5""H × 21""D"	105.36
CSW	VANITY CABINETS	CSW-VSB33	"Vanity sink base cabinet 33""W × 34.5""H × 21""D"	112.59
CSW	VANITY CABINETS	CSW-VSB36	"Vanity sink base cabinet 36""W × 34.5""H × 21""D"	119.81
CSW	VANITY CABINETS	CSW-VSDB42	Center sink vanity cabinet, one drawer on each side 42"W × 34.5"H × 21"D	173.23
CSW	VANITY CABINETS	CSW-VDB12	"Vanity drawer base cabinet 12""W × 34.5""H × 21""D"	132.8
CSW	VANITY CABINETS	CSW-VDB15	"Vanity drawer base cabinet 15""W × 34.5""H × 21""D"	148.37
CSW	VANITY CABINETS	CSW-VDB18	"Vanity drawer base cabinet 18""W × 34.5""H × 21""D"	157.98
CSW	VANITY CABINETS	CSW-V3621DL	"Vanity sink base cabinet, drawers on left 36""W x 34.5""H x 21""D"	169.39
CSW	VANITY CABINETS	CSW-V3621DR	"Vanity sink base cabinet, drawers on right 36""W x 34.5""H x 21""D"	169.39
CSW	TALL CABINETS	CSW-UC1884	Pantry cabinet 18"W × 84"H × 24"D	226.35
CSW	TALL CABINETS	CSW-UC1890	Pantry cabinet 18"W × 90"H × 24"D 	234.08
CSW	TALL CABINETS	CSW-UC1896	Pantry cabinet 18"W × 96"H × 24"D	245.01
CSW	TALL CABINETS	CSW-UC2484	Pantry cabinet 24"W × 84"H × 24"D	267.36
CSW	TALL CABINETS	CSW-UC2490	Pantry cabinet 24"W × 90"H × 24"D	278.11
CSW	TALL CABINETS	CSW-UC2496	Pantry cabinet 24"W × 96"H × 24"D	291.89
CSW	TALL CABINETS	CSW-OC3384	Oven Cabinet 33"W × 84"H × 24"D	330.37
CSW	TALL CABINETS	CSW-OC3390	Oven Cabinet 33"W × 90"H × 24"D	363.48
CSW	TALL CABINETS	CSW-OC3396	Oven Cabinet 33"W × 96"H × 24"D	390.03
CSW	WALL ACCESSORY CABINETS	CSW-WH30	Range hood front 30"W	84.28
CSW	WALL ACCESSORY CABINETS	CSW-WH36	Range hood front 36"W	97.43
CSW	WALL ACCESSORY CABINETS	CSW-WR3018	"Wall wine rack cabinet 30""W × 18""H × 12""D "	72.76
CSW	FILLERS & MOLDINGS	CSW-WF330	Wall Fillers  3"W x 30"H	8.4
CSW	FILLERS & MOLDINGS	CSW-WF336	Wall Fillers  3"W x 36"H	9.52
CSW	FILLERS & MOLDINGS	CSW-WF342	Wall Fillers  3"W x 42"H	10.5
CSW	FILLERS & MOLDINGS	CSW-WF642	Wall Fillers  6"W x 42"H	20.44
CSW	FILLERS & MOLDINGS	CSW-TF396	Tall Fillers  3"W x 96"H	23.15
CSW	FILLERS & MOLDINGS	CSW-TF696	Tall Fillers  6"W x 96"H	50.96
CSW	FILLERS & MOLDINGS	CSW-REP396	"Refrigerator Panel  3""W × 96""H × 24''D"	66.98
CSW	FILLERS & MOLDINGS	CSW-BP4296	"Finish Panel  42''W x 96''H x 1/4''D"	56.28 
CSW	FILLERS & MOLDINGS	CSW-DWR3	"Dishwasher End Panel 3""W × 34 1/2""H × 24''D"	26.35
CSW	FILLERS & MOLDINGS	CSW-OCM8	"Outside Corner Molding 1""W x 96""H x 1""D"	15.06
CSW	FILLERS & MOLDINGS	CSW-QRM8	"Quarter Round Molding 3/4""W × 96""H × 3/4""D"	11.29
CSW	FILLERS & MOLDINGS	CSW-BM8	"Batten Molding 3/4""W × 96""H × 1/4""D"	6.78
CSW	FILLERS & MOLDINGS	CSW-TK96	"Toe Kick 96""W × 4 1/2""H × 1/4""D"	7.28
CSW	FILLERS & MOLDINGS	CSW-SM8	"Scribe Molding 3/4""W × 96""H × 1/4""D"	6.78
CSW	FILLERS & MOLDINGS	CSW-FBM8	"Furniture Base Molding 96""W × 4 1/2""H × 5/8""D"	32.56
CSW	FILLERS & MOLDINGS	CSW-KD24/30	Knee Drawer	63.89
CSW	FILLERS & MOLDINGS	CSW-KD30/36	Knee Drawer	71.04
CSW	FILLERS & MOLDINGS	CSW-CB7X9	Decorative Corbel	21
CSW	FILLERS & MOLDINGS	CSW-COV	Cove Crown Molding	48.56
CSW	FILLERS & MOLDINGS	CSW-CCM	Classic Crown Molding	48.56
CSW	FILLERS & MOLDINGS	CSW-BSK	"Base Skin Panel 23 1/4""W × 34 1/2""H × 1/4""D"	11.29
CSW	FILLERS & MOLDINGS	CSW-WS42	"Wall Skin Panel 15""W × 42""H × 1/4""D"	9.8
CSW	FILLERS & MOLDINGS	CSW-TLRM8	Light Rail Molding	34.82
CSW	FILLERS & MOLDINGS	CSW-RPAV30	30"W Valance	21.28
CSW	FILLERS & MOLDINGS	CSW-RPAV36	36"W Valance	22.4
CSW	FILLERS & MOLDINGS	CSW-RPAV42	42"W Valance	25.2
CSW	FILLERS & MOLDINGS	CSW-TUK	Touch Up Kit	9.8
CSW	FILLERS & MOLDINGS	CSW-SD	Sample Door	10
MW	BASE CABINETS	MW-B09FHD	"Full Height Base Cabinet 9""W × 34 1/2""H × 24""D"	52.67
MW	BASE CABINETS	MW-B12	"Base Cabinet 12""W × 34 1/2""H × 24""D"	75.46
MW	BASE CABINETS	MW-B15	"Base Cabinet 15""W × 34 1/2""H × 24""D"	85.32
MW	BASE CABINETS	MW-B18	"Base Cabinet 18""W × 34 1/2""H × 24""D"	93.02
MW	BASE CABINETS	MW-B21	"Base Cabinet 21""W × 34 1/2""H × 24""D"	101.02
MW	BASE CABINETS	MW-B24	"Base Cabinet 24""W × 34 1/2""H × 24""D"	112.42
MW	BASE CABINETS	MW-B27	"Base Cabinet 27""W × 34 1/2""H × 24""D"	121.66
MW	BASE CABINETS	MW-B30	"Base Cabinet 30""W × 34 1/2""H × 24""D"	133.67
MW	BASE CABINETS	MW-B33	"Base Cabinet 33""W × 34 1/2""H × 24""D"	152.46
MW	BASE CABINETS	MW-B36	"Base Cabinet 36""W × 34 1/2""H × 24""D"	160.16
MW	BASE CABINETS	MW-B42	"Base Cabinet 42""W × 34 1/2""H × 24""D"	185.42
MW	DRAWER BASE CABINETS	MW-DB12	"3 Drawer Base Cabinet 12""W × 34 1/2""H × 24""D"	129.02
MW	DRAWER BASE CABINETS	MW-DB15	"3 Drawer Base Cabinet 15""W × 34 1/2""H × 24""D"	141.59
MW	DRAWER BASE CABINETS	MW-DB18	"3 Drawer Base Cabinet 18""W × 34 1/2""H × 24""D"	151.21
MW	DRAWER BASE CABINETS	MW-DB21	"3 Drawer Base Cabinet 21""W × 34 1/2""H × 24""D"	160.45
MW	DRAWER BASE CABINETS	MW-DB24	"3 Drawer Base Cabinet 24""W × 34 1/2""H × 24""D"	170.06
MW	DRAWER BASE CABINETS	MW-DB30	"3 Drawer Base Cabinet 30""W × 34 1/2""H × 24""D"	191.87
MW	DRAWER BASE CABINETS	MW-DB36	"3 Drawer Base Cabinet 36""W × 34 1/2""H × 24""D"	218.12
MW	CORNER BASE CABINETS	MW-LS33	"Lazy Susan Base Cabinet 33""W × 34 1/2""H × 24""D "	191.27
MW	CORNER BASE CABINETS	MW-LS36	"Lazy Susan Base Cabinet 36""W × 34 1/2""H × 24""D "	206.67
